study_order,trial_number,trial_number_of_type,stimulus_set,media_name,carrier_language,trial_type,target_side,distractor_side,trial_include,target_word,distractor_word,verified_target_side
Unmixed-1,1,1,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-1,2,1,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-1,3,2,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-1,4,2,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-1,5,3,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-1,6,3,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-1,7,4,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-1,8,4,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-1,9,5,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-1,10,5,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-1,11,6,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-1,12,6,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-1,13,7,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-1,14,7,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-1,15,8,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-1,16,8,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-1,17,1,Novel-14,KemPokyRight,english,test,left,right,1,kem,bos,TARGET ON LEFT
Unmixed-1,18,1,Novel-14,BowcePokyRight,french,test,right,left,1,bos,kem,
Unmixed-1,19,2,Novel-14,BowcePokyLeft,french,test,left,right,1,bos,kem,
Unmixed-1,20,2,Novel-14,KemPokyLeft,english,test,right,left,1,kem,bos,TARGET ON RIGHT
Unmixed-2,1,1,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-2,2,1,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-2,3,2,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-2,4,2,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-2,5,3,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-2,6,3,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-2,7,4,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-2,8,4,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-2,9,5,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-2,10,5,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-2,11,6,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-2,12,6,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-2,13,7,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-2,14,7,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-2,15,8,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-2,16,8,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-2,17,1,Novel-14,BowcePokyLeft,french,test,left,right,1,bos,kem,
Unmixed-2,18,1,Novel-14,KemPokyLeft,english,test,right,left,1,kem,bos,TARGET ON RIGHT
Unmixed-2,19,2,Novel-14,KemPokyRight,english,test,left,right,1,kem,bos,TARGET ON LEFT
Unmixed-2,20,2,Novel-14,BowcePokyRight,french,test,right,left,1,bos,kem,
Unmixed-3,1,1,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-3,2,1,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-3,3,2,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-3,4,2,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-3,5,3,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-3,6,3,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-3,7,4,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-3,8,4,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-3,9,5,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-3,10,5,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-3,11,6,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-3,12,6,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-3,13,7,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-3,14,7,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-3,15,8,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-3,16,8,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-3,17,1,Novel-14,BowcePokyRight,french,test,right,left,1,bos,kem,
Unmixed-3,18,1,Novel-14,KemPokyRight,english,test,left,right,1,kem,bos,TARGET ON LEFT
Unmixed-3,19,2,Novel-14,KemPokyLeft,english,test,right,left,1,kem,bos,TARGET ON RIGHT
Unmixed-3,20,2,Novel-14,BowcePokyLeft,french,test,left,right,1,bos,kem,
Unmixed-4,1,1,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-4,2,1,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-4,3,2,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-4,4,2,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-4,5,3,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-4,6,3,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-4,7,4,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-4,8,4,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-4,9,5,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-4,10,5,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-4,11,6,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-4,12,6,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-4,13,7,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-4,14,7,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-4,15,8,Novel-14,B,french,training,center,NA,1,bos,NA,
Unmixed-4,16,8,Novel-14,A,english,training,center,NA,1,kem,NA,
Unmixed-4,17,1,Novel-14,KemPokyLeft,english,test,right,left,1,kem,bos,TARGET ON RIGHT
Unmixed-4,18,1,Novel-14,BowcePokyLeft,french,test,left,right,1,bos,kem,
Unmixed-4,19,2,Novel-14,BowcePokyRight,french,test,right,left,1,bos,kem,
Unmixed-4,20,2,Novel-14,KemPokyRight,english,test,left,right,1,kem,bos,TARGET ON LEFT
Unmixed-5,1,1,Novel-14,D,english,training,center,NA,1,bos,NA,
Unmixed-5,2,1,Novel-14,C,french,training,center,NA,1,kem,NA,
Unmixed-5,3,2,Novel-14,C,french,training,center,NA,1,kem,NA,
Unmixed-5,4,2,Novel-14,D,english,training,center,NA,1,bos,NA,
Unmixed-5,5,3,Novel-14,C,french,training,center,NA,1,kem,NA,
Unmixed-5,6,3,Novel-14,D,english,training,center,NA,1,bos,NA,
Unmixed-5,7,4,Novel-14,D,english,training,center,NA,1,bos,NA,
Unmixed-5,8,4,Novel-14,C,french,training,center,NA,1,kem,NA,
Unmixed-5,9,5,Novel-14,C,french,training,center,NA,1,kem,NA,
Unmixed-5,10,5,Novel-14,D,english,training,center,NA,1,bos,NA,
Unmixed-5,11,6,Novel-14,C,french,training,center,NA,1,kem,NA,
Unmixed-5,12,6,Novel-14,D,english,training,center,NA,1,bos,NA,
Unmixed-5,13,7,Novel-14,D,english,training,center,NA,1,bos,NA,
