intended_study,study_ID,baby_ID,recording_name,cdi_comp_eng,cdi_comp_fr,cdi_prod_eng,cdi_prod_fr,total_vocab_comp,total_vocab_prod,COMP_concept_vocab_size,PROD_concept_vocab_size,te_comp,te_prod
Novel_14,S01,1356,Novel_14_S01,NA,177,NA,2,177,2,177,2,0,NA
Novel_14,S02,2222,Novel_14_S02,94,NA,10,NA,94,10,94,10,0,NA
Novel_14,S03,355,Novel_14_S03,91,23,1,2,114,3,100,3,14,NA
Novel_14,S05,2305,Novel_14_S05,NA,NA,NA,Na,NA,NA,NA,NA,NA,NA
Novel_14,S06,2310,Novel_14_S06,NA,160,NA,22,160,22,160,22,0,NA
Novel_14,S09,2304,Novel_14_S09,78,NA,16,NA,78,16,78,16,0,NA
Novel_14,S10,2287,Novel_14_S10,104,NA,20,NA,104,20,104,20,0,NA
Novel_14,S101,5627,Novel_14_S101,145,40,16,10,185,26,157,24,28,2
Novel_14,S102,7287,Novel_14_S102,22,NA,10,NA,22,10,22,10,0,NA
Novel_14,S104,7708,Novel_14_S104,45,40,4,1,85,5,65,4,20,1
Novel_14,S107,7230,Novel_14_S107,126,NA,4,NA,126,4,126,4,0,NA
Novel_14,S108,6777,Novel_14_S108,59,NA,3,NA,59,3,59,3,0,NA
Novel_14,S109,6659,Novel_14_S109,128,NA,17,NA,128,17,128,17,0,NA
Novel_14,S113,7770,Novel_14_S113,32,NA,1,NA,32,1,32,1,0,NA
Novel_14,S114,8237,Novel_14_S114,NA,119,NA,15,119,15,119,15,0,NA
Novel_14,S116,8884,Novel_14_S116,230,NA,8,NA,230,8,230,8,0,NA
Novel_14,S117,8937,Novel_14_S117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Novel_14,S118,8952,Novel_14_S118,73,NA,2,NA,73,2,73,2,0,NA
Novel_14,S119,8882,Novel_14_S119,8,NA,NA,NA,8,NA,8,NA,0,NA
Novel_14,S12,3314,Novel_14_S12,209,NA,6,NA,209,6,209,6,0,0
Novel_14,S120,8795,Novel_14_S120,250,NA,NA,NA,250,NA,250,0,0,0
Novel_14,S122,42316,Novel_14_S122,NA,28,NA,6,28,6,28,6,0,NA
Novel_14,S123,42290,Novel_14_S123,32,NA,3,NA,32,3,32,3,0,NA
Novel_14,S124,42305,Novel_14_S124,NA,154,NA,2,154,2,154,2,0,NA
Novel_14,S125,42552,Novel_14_S125,68,NA,12,NA,68,12,68,12,0,NA
Novel_14,S126,42571,Novel_14_S126,NA,121,NA,11,121,11,121,11,0,0
Novel_14,S127,42586,Novel_14_S127,NA,216,NA,11,216,11,216,11,0,NA
Novel_14,S128,43915,Novel_14_S128_43915,359,0,112,0,359,112,359,112,0,0
Novel_14,S13,3300,Novel_14_S13,NA,125,NA,15,125,15,125,15,0,0
Novel_14,S130,44621,Novel14_S130,195,NA,35,NA,195,35,195,35,0,0
Novel_14,S131,45144,Novel_14_S131,NA,104,NA,10,104,10,104,10,0,NA
Novel_14,S133,44536,Novel_14_S133,15,NA,3,NA,15,3,15,3,0,NA
Novel_14,S134,45061,Novel_14_S134,52,75,4,4,127,8,96,6,31,2
Novel_14,S136,44951,Novel_14_S136,NA,56,NA,7,56,7,56,7,0,NA
Novel_14,S137,44643,Novel_14_S137,14,NA,6,NA,14,6,14,6,0,NA
Novel_14,S138,44663,Novel_14_S138,12,16,7,4,28,11,21,10,7,1
Novel_14,S14,3312,Novel_14_S14,100,50,7,4,150,11,117,7,33,4
Novel_14,S141,45801,Novel14_S141_45801,78,88,3,NA,166,3,114,2,52,1
Novel_14,S145,47720,Novel_14_S145_47720,189,71,2,NA,260,2,201,2,59,0
Novel_14,S146,48330,Novel_14_S146_48330,260,NA,20,NA,260,20,260,20,0,0
Novel_14,S148,48417,Novel_14_S148_48417,217,131,1,3,348,3,244,3,104,1
Novel_14,S149,48780,Novel_14_S149_48780,NA,18,NA,3,18,3,18,3,0,NA
Novel_14,S15,3370,Novel_14_S15,NA,110,NA,7,110,7,110,7,0,NA
Novel_14,S151,48880,Novel14_S151_48880,NA,74,NA,1,74,1,74,1,0,NA
Novel_14,S152,48895,Novel_14_S152_48895,NA,11,NA,NA,11,NA,11,NA,0,NA
Novel_14,S153,47157,Novel_14_S153_47157,86,188,1,NA,274,1,208,1,66,0
Novel_14,S155,49345,Novel_14_S155_49345,NA,124,NA,7,124,7,124,7,0,0
Novel_14,S156,49064,Novel_14_S156_49064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Novel_14,S157,48770,Novel_14_S157_48770,28,167,NA,4,195,4,174,4,21,NA
Novel_14,S159,49327,Novel_14_S159_49327,79,114,13,18,193,31,146,20,47,11
Novel_14,S16,3347,Novel_14_S16,151,NA,43,NA,151,43,151,43,0,NA
Novel_14,S160,48744,Novel_14_S160_48744,NA,158,NA,24,158,24,158,24,0,NA
Novel_14,S161,49330,Novel14_S161_49330,93,60,6,10,153,16,119,10,34,6
Novel_14,S163,48886,Novel_14_S163_48886,49,NA,21,NA,49,21,49,21,0,NA
Novel_14,S164,49191,Novel_14_S164_49191,NA,105,NA,9,105,9,105,9,0,NA
Novel_14,S166,49065,Novel_14_Feb2018_S166_49065,NA,127,NA,13,127,13,127,13,0,NA
Novel_14,S167,49407,Novel_14_S167_49407,189,197,5,7,386,12,261,11,125,1
Novel_14,S168,49548,Novel_14_S168_49548,NA,51,NA,17,51,17,51,17,0,NA
Novel_14,S17,3374,Novel_14_S17,NA,85,NA,3,85,3,85,3,0,NA
Novel_14,S18,3367,Novel_14_s18,,,,,,,,,,
Novel_14,S19,3320,Novel_14_S19,250,NA,38,NA,250,38,250,38,0,0
Novel_14,S25,3283,Novel_14_S25,150,NA,12,NA,150,12,150,12,0,NA
Novel_14,S26,1443,Novel_14_S26,126,163,14,14,289,28,188,20,101,8
Novel_14,S27,1861,Novel_14_S27,299,NA,59,NA,299,59,299,59,0,0
Novel_14,S29,3900,Novel_14_S29,78,NA,14,NA,78,14,78,14,0,NA
